node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress
Znf317,39,0.30045,15,20,40.906,1,0.25,306.83333,4.79721,90.69557,6224
Nrl,5,0.61795,3,8,15.992,1,0.2,271.11667,4.5,23.3969,948
Mafb,23,0.25096,17,22,34.505,1,0.2,295.45,4.6904,140.63221,5588
Relb,471,0.54567,34,43,72.896,1,0.2,308.78333,4.7678,249.11504,12530
Klf16,3970,0.44092,93,143,143.078,1,0.25,359.75,5.06347,1863.84957,144656
Mzf1,2001,0.38222,80,106,110.569,6,0.25,356.08333,5.06656,3767.14988,140820
Klf4,0,0.61371,119,176,152.227,1,0.25,377.75,5.15325,4414.69359,289744
Gli3,223,0.36129,34,37,53.505,1,0.25,317.41667,4.84985,363.31933,11960
Zic2,170,0.22101,39,47,65.961,1,0.25,328.83333,4.93653,1502.33202,44498
Gcm2,29,0.54893,9,12,21.03,1,0.25,287.5,4.64087,44.74262,2274
Foxo1,65,0.68167,20,28,55.964,1,0.25,308.91667,4.81424,187.39177,10128
Mxi1,3030,0.59984,85,167,145.545,1,0.25,356.91667,5.06502,3253.48502,208092
Nfib,1311,0.31997,71,109,103.434,9,0.25,349.75,5.01703,5622.29339,177370
Nfix,510,0.53822,43,63,98.669,2,0.2,332.78333,4.96594,614.23864,63794
Zic3,161,0.3018,24,26,48.64,1,0.2,302.7,4.74149,113.1583,5222
Tcfl5,216,0.36627,36,62,83.716,1,0.2,318.28333,4.84675,863.31542,48982
Neurog2,149,0.25584,30,43,57.776,2,0.25,315,4.83901,674.18325,27132
Twist1,229,0.31194,31,36,52.401,1,0.2,321.03333,4.8839,705.24079,20646
Zbtb18,1842,0.63891,54,83,108.911,1,0.25,330.75,4.91486,556.33466,39908
Tal1,155,0.18093,42,63,61.181,6,0.25,315.41667,4.79412,1797.23049,56750
Etv4,4499,0.48909,83,108,117.243,1,0.25,353.41667,5.03251,2452.73604,123814
Neurod1,110,0.32432,24,29,46.055,1,0.2,310.28333,4.8096,523.07249,17624
Nr5a2,439,0.43785,45,65,90.082,1,0.25,326.58333,4.90093,913.68593,37634
Barx1,123,0.36486,24,29,43.8,1,0.2,311.03333,4.81269,325.76184,10832
Gli2,1536,0.42049,70,92,109.17,1,0.25,336.58333,4.9195,1444.11976,76206
Mafk,309,0.33739,69,107,118.735,9,0.33333,342.16667,4.97833,4629.16719,179004
Zfx,1708,0.40502,58,68,85.3,2,0.25,337.91667,4.96904,1032.81643,41086
Nkx3-1,116,0.41673,26,57,96.46,1,0.25,308.41667,4.78173,430.82828,74580
Hand1,346,0.38748,40,45,63.248,1,0.25,328.08333,4.93653,588.26518,22798
Bhlhe22,193,0.30896,34,71,90.744,1,0.25,317.41667,4.84985,713.3286,62670
Bhlha15,108,0.28049,33,60,74.521,1,0.25,322.41667,4.89628,673.826,48622
Atoh1,835,0.4874,39,60,84.752,1,0.25,323.58333,4.89164,644.56288,43718
Nfyc,3706,0.49687,79,105,117.727,1,0.2,352.78333,5.04025,2105.55552,102702
Nfya,606,0.42238,45,53,67.979,1,0.2,330.28333,4.93963,604.10205,27600
Tfap2c,4312,0.3572,79,150,137.134,2,0.25,354.75,5.05418,3835.03868,239412
Nfyb,2630,0.47798,76,111,119.308,1,0.25,348.25,5.0031,2335.55504,111496
